"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"33","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-12-26,"Stepove","https://i.postimg.cc/v8p67wwb/1020-bmp2-aband-26-12-23.jpg","https://t.me/WarArchive_ua/8912","48.202895,37.693211","Cope cage,Damaged","Russia","Armor",48.202895,37.693211
"34","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-12-24,"Stepove","https://i.postimg.cc/wTndym3K/1031-bmp2-dam-aband-24-12-23.jpg","https://t.me/lost_warinua/60600","48.1973,37.6791","Z,PL-1,Mine plow/roller,Damaged","Russia","Armor",48.1973,37.6791
"35","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-12-15,"Vodiane","https://i.postimg.cc/5ypV6T1T/1056-bmp2-aband-15-12-23.jpg","https://t.me/lost_warinua/60055",NA,"Damaged,Loitering","Russia","Armor",NA,NA
"36","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-12-12,"Stepove","https://i.postimg.cc/1XMG7XCY/1037-bmp2-dam-aband-12-12-23.jpg","https://twitter.com/OSINTua/status/1736350466525495305",NA,"Damaged","Russia","Armor",NA,NA
"37","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-10-31,"Sieverne","https://i.postimg.cc/pTd1gCzG/1032-Abandoned-Russian-BMP-2-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940",NA,"Cope cage","Russia","Armor",NA,NA
"38","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-10-31,"Sieverne","https://i.postimg.cc/TP047FL5/1031-Abandoned-Russian-BMP-2-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940","48.1061181,37.6323358",NA,"Russia","Armor",48.1061181,37.6323358
"39","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-10-19,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/sxqKXn8h/1045-bmp2-dam-aband-19-10-23.jpg","https://t.me/BUAR110ombr/139","48.1992782,37.7075225","Damaged","Russia","Armor",48.1992782,37.7075225
"40","Armoured Fighting Vehicles","BRDM-2M/A","Abandoned","Russia",NA,2023-10-12,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/SNFZhR0b/1035-BRDM-2-destr-12-10-23.jpg","https://twitter.com/OSINTua/status/1717624038615355565","48.210940371464034,37.72364106639538","Cope cage,Damaged","Russia","Armor",48.210940371464,37.7236410663954
"41","Armoured Fighting Vehicles","BRM-1(K) reconnaissance vehicle","Abandoned","Russia",NA,2023-11-10,"Vodiane","https://i.postimg.cc/XNRKK3g7/1010-1x-destr-2x-dam-aband-bmp2-11-11-23.jpg","https://t.me/lost_warinua/56266","48.11369348,37.67733562","Damaged","Russia","Armor",48.11369348,37.67733562
"42","Armoured Fighting Vehicles","BTR-80","Abandoned","Russia",NA,2023-10-31,"Sieverne","https://i.postimg.cc/t47ZnjXB/1016-MT-LB-btr80-destr-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940",NA,"Damaged","Russia","Armor",NA,NA
"43","Armoured Fighting Vehicles","BTR-80","Abandoned","Russia",NA,2023-10-19,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/sggTN8y2/1010-mtlb-destr-btr80-dam-aband-05-11-23.jpg","https://t.me/pidrozdilshadow/1271","48.20334780,37.70188284","Damaged","Russia","Armor",48.2033478,37.70188284
"44","Armoured Fighting Vehicles","BTR-80 or 82","Abandoned","Russia",NA,2023-10-23,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/JzfG5tGJ/1027-btr82-aband-23-10-23.jpg","https://www.facebook.com/100007635584684/posts/pfbid02jeCF9hTeLXqL7qc5jiZL1npCNnCW8x1v92BW8PQDMaqfbyFDcrCSZgGegAjyTNBil/?app=fbl","48.2103462,37.7050612","Damaged","Russia","Armor",48.2103462,37.7050612
"45","Armoured Fighting Vehicles","BTR-82A(M)","Abandoned","Russia",NA,2023-11-25,"Stepove","https://i.postimg.cc/hj626ydP/1046-btr82a-dam-aband-25-11-23.jpg","https://t.me/flyingskull/82",NA,"Damaged","Russia","Armor",NA,NA
"46","Armoured Fighting Vehicles","BTR-82A(M)","Abandoned","Russia","15th Separate Motor Rifle Brigade",2023-10-19,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/BQtbW2FH/1049-btr82a-dam-aband-19-10-23.jpg","https://t.me/lost_warinua/53593","48.2097657,37.6914199","Z,Cope cage,Damaged","Russia","Armor",48.2097657,37.6914199
"47","Armoured Fighting Vehicles","BTR-90","Abandoned","Russia",NA,2023-10-22,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/J7JbkV0G/1033-btr90-dam-aband-22-10-23.jpg","https://www.youtube.com/watch?v=UPOWXW7Alj0","48.19560515572009,37.72648747261524","Z,Damaged","Russia","Armor",48.1956051557201,37.7264874726152
"48","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2024-01-07,"Novomykhailivka","https://i.postimg.cc/T3JS7sdQ/1012-bmp2-and-mtlb-aband-08-01-24.jpg","https://t.me/Perun_Group/241",NA,"Damaged","Russia","Armor",NA,NA
"49","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/9fF1cxVc/1050-mtlb-aband-21-12-23.jpg","https://twitter.com/lisgenn/status/1739343239323279844","47.8402434814904,37.488239077074354","Damaged","Russia","Armor",47.8402434814904,37.4882390770744
"50","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-12-21,"Novomykhailivka","https://i.postimg.cc/qB9m2XcG/1047-unkn-afv-aband-21-12-23.jpg","https://twitter.com/lisgenn/status/1739343239323279844","47.841309291233614,37.488298138432455","Damaged,Loitering","Russia","Armor",47.8413092912336,37.4882981384325
"51","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/Dzj60qyL/1026-mtlb-dam-aband-21-12-23.jpg","https://twitter.com/wartranslated/status/1738296241132331178","47.8415081861549,37.488421330111485","Damaged","Russia","Armor",47.8415081861549,37.4884213301115
"52","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/gcwSwBhJ/1025-MT-LB-aband-21-12-23.jpg","https://twitter.com/wartranslated/status/1738296241132331178","47.843014361835664,37.48819465181736","V,Damaged","Russia","Armor",47.8430143618357,37.4881946518174
"53","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-12-21,"Novomykhailivka","https://i.postimg.cc/LhKZhs1z/1023-MT-LB-aband-21-12-23.jpg","https://twitter.com/wartranslated/status/1738296241132331178","47.84494238144044,37.4879605242165","Cope cage","Russia","Armor",47.8449423814404,37.4879605242165
"54","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://twitter.com/bayraktar_1love/status/1737780638701261204","https://t.me/sudoplatov_official/944","47.855376,37.516096",NA,"Russia","Armor",47.855376,37.516096
"55","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-11-28,"Stepove","https://i.postimg.cc/44cxsJjN/1024-mtlb-dam-aband-03-12-23.jpg","https://twitter.com/OSINTua/status/1731359380379992564","48.2026672,37.6899505","Damaged,Improvised","Russia","Armor",48.2026672,37.6899505
"56","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-10-31,"Sieverne","https://i.postimg.cc/13TgpjXs/1029-mtlb-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940",NA,"Cope cage,Damaged","Russia","Armor",NA,NA
"57","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia",NA,2023-10-31,"Vodiane","https://i.postimg.cc/2ywbhjbK/1024-MT-LB-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940","48.10519127,37.69130347","Cope cage,Damaged","Russia","Armor",48.10519127,37.69130347
"58","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia","114th Separate Motor Rifle Brigade (DNR)",2023-10-10,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/mZdv5yry/1032-MT-LB-aband-10-10-23.jpg","https://t.me/lost_warinua/52682","48.19004335,37.71754836","Cope cage,Damaged,Improvised","Russia","Armor",48.19004335,37.71754836
"59","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-10-10,"Novomykhailivka","https://twitter.com/UAWeapons/status/1712147257338867867","https://t.me/lost_warinua/52296","47.819798,37.475971","Damaged","Russia","Armor",47.819798,37.475971
"60","Armoured Fighting Vehicles","MT-LB","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-10-10,"Novomykhailivka","https://twitter.com/UAWeapons/status/1712147257338867867","https://t.me/lost_warinua/52296","47.819826,37.475904","Cope cage,Damaged","Russia","Armor",47.819826,37.475904
"61","Armoured Fighting Vehicles","MT-LB M1980 'Blade'","Abandoned","Russia",NA,2023-11-11,"Vodiane","https://i.postimg.cc/HkHCNnxX/1016-mtlb-destr-11-11-23.jpg","https://twitter.com/OSINTua/status/1723750449998659768/photo/1","48.11372892,37.67725968","Cope cage,Damaged","Russia","Armor",48.11372892,37.67725968
"62","Armoured Fighting Vehicles","MT-LBVM(K)","Abandoned","Russia","39th Separate Motor Rifle Brigade",2024-01-07,"Novomykhailivka","https://i.postimg.cc/NjcSxtc5/1013-mtlb-destr-08-01-24.jpg","https://t.me/Perun_Group/241",NA,"Cope cage","Russia","Armor",NA,NA
"63","Armoured Fighting Vehicles","Unknown IFV","Abandoned","Russia",NA,2023-12-26,"Stepove","https://i.postimg.cc/ZRS6TPfX/1019-unkn-afv-dam-aband-26-12-23.jpg","https://t.me/WarArchive_ua/8912","48.202758,37.691900","Z,Damaged","Russia","Armor",48.202758,37.6919
"64","Armoured Fighting Vehicles","BMP-1 or 2","Damaged","Russia",NA,2023-12-15,"Stepove","https://i.postimg.cc/02j8JvfS/1017-bmp2-dam-aband-15-12-23.jpg","https://t.me/brygada47/339","48.18732899840398,37.68765597571756","V,Damaged,☐,Improvised","Russia","Armor",48.187328998404,37.6876559757176
"65","Armoured Fighting Vehicles","BMP-2 675-sb3KDZ","Damaged","Russia",NA,2023-12-28,"Donetsk","https://twitter.com/NOELreports/status/1740382512319255035","https://twitter.com/NOELreports/status/1740382512319255035",NA,"Damaged,Improvised","Russia","Armor",NA,NA
"66","Armoured Fighting Vehicles","BTR-80","Damaged","Russia",NA,2023-10-14,"Verkhniotoretske","https://i.postimg.cc/05mySw8r/1022-btr80-dam-13-10-23.jpg","https://twitter.com/jabuttee/status/1712994323657007543","48.218403,37.873944","Z,Damaged","Russia","Armor",48.218403,37.873944
"67","Armoured Fighting Vehicles","BTR-82A(M)","Damaged","Russia","15th Separate Motor Rifle Brigade",2023-10-19,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/GtWQTQdL/1042-BTR-82-A-dam-19-10-23.jpg","https://twitter.com/TonyaLevchuk/status/1716129647564382654",NA,"V,Cope cage,Damaged,Improvised","Russia","Armor",NA,NA
"68","Armoured Fighting Vehicles","MT-LB","Damaged","Russia",NA,2023-11-10,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/Gt5vsxt2/1000-mtlb-dam-aband-10-11-23.jpg","https://t.me/SBUkr/10340","48.191556,37.727361","Cope cage","Russia","Armor",48.191556,37.727361
"69","Armoured Fighting Vehicles","MT-LB","Damaged","Russia",NA,2023-11-01,"Stepove","https://i.postimg.cc/6QbJThhf/1019-mtlb-dam-01-11-23.jpg","https://t.me/pidrozdilshadow/1162","48.204111255508074,37.69879702089231","Cope cage,Loitering","Russia","Armor",48.2041112555081,37.6987970208923
"70","Armoured Fighting Vehicles","MT-LB","Damaged","Russia",NA,2023-10-26,"Novomykhailivka","https://i.postimg.cc/V5QKdJTR/1024-mtlb-dam-aband-26-10-23.jpg","https://t.me/lost_warinua/54423","47.831722,37.531694",NA,"Russia","Armor",47.831722,37.531694
"71","Armoured Fighting Vehicles","MT-LB with ZU-23 AA gun","Damaged","Russia",NA,2023-11-01,"Pisky","https://i.postimg.cc/MZbjh5Pm/1008-mtlb-dam-01-11-23.jpg","https://t.me/inquisition59/24","48.06857,37.67136",NA,"Russia","Armor",48.06857,37.67136
"72","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2024-01-08,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/pV7vbrw7/1001-bmp2-destr-08-01-24.jpg","https://t.me/lost_warinua/62043","48.20975,37.726806",NA,"Russia","Armor",48.20975,37.726806
"73","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2024-01-03,"Mariinka","https://i.postimg.cc/hjbxFqZc/1016-4x-unkn-bmp-destr-03-01-24.jpg","https://t.me/lost_warinua/61644","47.893889,37.516556","Z,Loitering","Russia","Armor",47.893889,37.516556
"74","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2024-01-02,"Kamianka","https://i.postimg.cc/VsW9pX2n/1034-unkn-bmp-destr-03-01-24.jpg","https://t.me/lost_warinua/61598","48.177611,37.787417","Loitering","Russia","Armor",48.177611,37.787417
"75","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/V6KxYS2V/1046-unkn-bmp-destr-21-12-23.jpg","https://twitter.com/lisgenn/status/1739343239323279844","47.841320076623894,37.488153303518956",NA,"Russia","Armor",47.8413200766239,37.488153303519
"76","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-10-26,"Novomykhailivka","https://i.postimg.cc/PxHTPj9m/1025-unkn-bmp-destr-26-10-23.jpg","https://t.me/lost_warinua/54418","47.837806,37.507722",NA,"Russia","Armor",47.837806,37.507722
"77","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-10-24,"Vesele","https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg","https://t.me/lost_warinua/54829","48.191083,37.766139",NA,"Russia","Armor",48.191083,37.766139
"78","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-10-24,"Vesele","https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg","https://t.me/lost_warinua/54825","48.191472,37.765611","Turretless,Shattered","Russia","Armor",48.191472,37.765611
"79","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-10-19,"Vesele","https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg","https://t.me/BUAR110ombr/139","48.1897700330162,37.76419508753771","Cope cage","Russia","Armor",48.1897700330162,37.7641950875377
"80","Armoured Fighting Vehicles","BMP-1 or 2","Destroyed","Russia",NA,2023-10-10,"Pervomaiske","https://twitter.com/UAWeapons/status/1712552062364561824","https://t.me/pekhno_news/2507","48.069972,37.636250","Flipped","Russia","Armor",48.069972,37.63625
"81","Armoured Fighting Vehicles","BMP-1AM","Destroyed","Russia",NA,2023-10-19,"Mariinka","https://i.postimg.cc/VN9wvFwS/1023-bmp1am-destr-19-10-23.jpg","https://t.me/lost_warinua/53466",NA,NA,"Russia","Armor",NA,NA
"82","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2024-01-07,"Novomykhailivka","https://i.postimg.cc/FK95gLSf/1011-bmp1-destr-08-01-23.jpg","https://t.me/Perun_Group/241",NA,NA,"Russia","Armor",NA,NA
"83","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2024-01-06,"Novomykhailivka","https://i.postimg.cc/t4dGx5sQ/1004-bmp1-destr-08-01-24.jpg","https://t.me/lost_warinua/61827",NA,NA,"Russia","Armor",NA,NA
"84","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2024-01-03,"Mariinka",NA,"https://t.me/lost_warinua/62047","47.89375,37.518528",NA,"Russia","Armor",47.89375,37.518528
"85","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2024-01-03,"Mariinka","https://i.postimg.cc/YCh1vZ0z/1037-bmp1-destr-03-01-24.jpg","https://t.me/lost_warinua/61636","47.893694,37.518972","Z","Russia","Armor",47.893694,37.518972
"86","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2023-12-27,"Stepove","https://i.postimg.cc/L6cWHzs5/1034-bmp1-destr-27-12-23.jpg","https://t.me/operativnoZSU/129223","48.200285247616954,37.69124416554734",NA,"Russia","Armor",48.200285247617,37.6912441655473
"87","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2023-12-27,"Stepove","https://i.postimg.cc/76jbN0cm/1034-unkn-bmp-destr-27-12-23.jpg","https://twitter.com/GloOouD/status/1739958698297196678","48.198601,37.69138","Z,Cope cage","Russia","Armor",48.198601,37.69138
"88","Armoured Fighting Vehicles","BMP-1P","Destroyed","Russia",NA,2023-12-25,"Novomykhailivka","https://i.postimg.cc/Nf9VqNBZ/1047-bmp1-destr-25-12-23.jpg","https://t.me/ua_dshv/1944","47.836933,37.488503",NA,"Russia","Armor",47.836933,37.488503
